GDP per capita,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1152.217583,1146.495265,1141.58192,1137.311715,1135.905146,1120.306849,1123.778293,1135.71608,1125.691539,1119.906184,1039.780886,994.4720758,1079.818009,1109.509798,1137.547062,1164.089498,1056.469927,1111.541965,1087.327241,1089.15162,1205.305056,1314.364729,1361.564785,1336.619708,1292.744819,1385.42645,1145.54812,1034.829439,1009.873573,953.5146868,948.0595413,872.659964,751.0515319,672.5617679,808.8680781,830.4196796,853.8450877,877.9757655,901.7501247,892.2387735,799.6817856,976.6691586,1055.14511,1081.472262,1174.582145,1193.282161,1321.945588,1323.495832,1552.033398,1632.338112,1695.153436
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,3204.631978,3310.701943,3423.627146,3540.88499,3670.067931,3807.668716,3950.984897,4093.575333,4232.601928,4388.74856,4564.174585,4742.879349,4979.115617,4997.677376,5015.090736,5035.164724,5057.19173,5080.468007,5105.237002,5141.289734,5168.872993,5197.293982,5227.633451,5257.394504,5284.909279,5318.490361,5351.961161,5385.848186,5426.464786,5474.941477,3889.965658,3574.867908,3888.645755,4178.035474,4702.960855,5109.568026,4570.583488,5131.295018,5622.988551,6005.083412,6407.074312,6590.533753,6949.816248,7322.045206,7685.262481,8090.42328,8528.395747,9111.710122,9377.045354,9656.957169,9897.179958
Algeria,5824.46269,4638.561079,5721.930603,5845.327692,6051.822328,5584.045363,5904.527986,6400.608418,6815.127357,7280.342536,6472.539085,7606.011041,7627.722709,7857.496094,8163.135164,8442.429729,8929.401491,9770.893479,10332.55684,10201.92333,10191.31167,10506.19576,10721.61215,10969.66345,11049.11881,10736.83655,10388.30226,9894.922552,10117.97855,10112.79638,9748.48761,9692.76153,9279.459073,9005.585945,9168.36559,9374.860054,9321.734892,9646.161427,9809.74442,9885.491284,10202.9068,10634.4256,11251.4123,11574.63194,12077.22937,12088.08762,12289.02726,12314.34698,12285.12888,12494.06704,12605.77155
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,21599.80328,22917.96721,24236.13114,25554.29508,26872.45901,28190.62295,29508.78688,30826.95081,32145.11475,33463.27868,33264.07744,34193.12022,35108.14331,35468.85932,34276.81397,34211.52205,34121.86918,33618.7385,32596.26337,32166.97667,30891.71229,29989.29397,29213.05085,28451.84444,27876.61023,27596.6658,27959.57416,28234.34519,28458.45837,28417.37321,28028.69909,27218.16966,26010.54999,25906.77683,26142.96277,27179.76801,29729.44858,30819.17556,31939.79854,31662.4372,31793.82402,31865.97,34500.26,36329.5,39786.55,42738.4,43441.87,41425.99,41734.59,38981.93,41958.04
Angola,4099.104788,3920.451433,4052.979315,4432.13532,4685.329284,4874.429875,5071.532688,4909.776224,4966.243867,5190.090412,5391.38543,5285.165836,5585.229139,5625.132365,5210.626254,4812.946179,4722.834918,4351.181822,4238.115152,4218.141229,3897.358294,3760.144851,3779.693122,3871.976479,3884.201503,3897.09641,4065.147272,4187.951377,4098.416369,3968.670389,3888.203553,3544.938731,2607.337986,2558.734506,2854.513406,3329.794997,3419.698805,3329.632762,3342.531667,3340.654977,3334.947335,3690.689524,3681.574455,3956.009985,4613.317229,5303.703307,6341.613866,7012.631643,6980.112713,7021.577476,7094.084302
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,4698.84637,4814.007875,4931.991811,5052.867353,5176.705369,5303.578464,5433.561023,5566.729256,5703.161237,5842.936956,6123.371457,6412.30459,6803.051374,6918.883242,6483.802765,5906.36325,6391.367104,6710.139906,7554.492815,8185.316484,8703.470152,8838.109715,9548.132335,10393.03112,11384.10048,12597.12412,14018.14438,15425.39709,16588.69376,17124.49835,17387.93151,17278.07156,17810.18483,18462.05795,17238.12543,17910.11718,18328.49547,18662.71136,18978.09271,18848.52927,18895.86922,19049.16302,19747.45451,20883.52302,21571.41195,24004.48659,25392.81186,25488.83112,22519.10993,20598.58436,19987.92414
